Date,Lower_Bound_-_95%_Confidence_Interval,Upper_Bounds_-_95%_Confidence_Interval,Estimate_of_Rt_7_Day_Average,Nowcasting_Adjusted_Cases_by_Episode_Date,OBJECTID
2020/03/01,,,,2,0
2020/03/02,,,,3,1
2020/03/03,,,,1,2
2020/03/04,,,,1,3
2020/03/05,,,,6,4
2020/03/06,,,,5,5
2020/03/07,,,,4,6
2020/03/08,,,,9,7
2020/03/09,1.81953282222235,3.33176651066064,2.52783352678379,9,8
2020/03/10,1.68952660116951,2.93294424185422,2.27535740663841,7,9
2020/03/11,1.56065615154189,2.59949092457772,2.05232920286719,9,10
2020/03/12,1.52990981389718,2.44108206279462,1.96319814419047,14,11
2020/03/13,1.48332390983551,2.28837859844658,1.86756264008848,22,12
2020/03/14,1.64408379895973,2.40640100192733,2.01001712678659,18,13
2020/03/15,1.62889121384185,2.31046294236108,1.95718261104858,27,14
2020/03/16,1.62804571678678,2.23903609281242,1.92332702984061,14,15
2020/03/17,1.41100166338537,1.92657314424844,1.66036344575948,23,16
2020/03/18,1.39362341453174,1.86482224430934,1.62202164174494,16,17
2020/03/19,1.29054361654527,1.7136847581094,1.49581750370159,25,18
2020/03/20,1.24846652252604,1.63979903194014,1.43853330259421,22,19
2020/03/21,1.12982314584178,1.48396682440979,1.30182763575164,20,20
2020/03/22,1.0610815888211,1.39109681960426,1.22139914527754,26,21
2020/03/23,0.997422461539224,1.30884505268339,1.14869288858748,21,22
2020/03/24,1.00887143869078,1.3156006156748,1.15796273602575,18,23
2020/03/25,0.940980387493183,1.23251634641874,1.08261910065869,23,24
2020/03/26,0.964319969973018,1.25535324016034,1.1058080829815,14,25
2020/03/27,0.87316729470095,1.14794216596738,1.00660950216867,17,26
2020/03/28,0.833331736703152,1.10090556455511,0.963208750485882,25,27
2020/03/29,0.87268312666397,1.14730563628007,1.00605134092096,19,28
2020/03/30,0.831089402359315,1.10015976493587,0.961664400339481,25,29
2020/03/31,0.862465780114494,1.13714743330942,0.995821236243458,17,30
2020/04/01,0.861317792772906,1.1367491964026,0.995023086900845,27,31
2020/04/02,0.889325409109028,1.16918503771043,1.02523698810293,17,32
2020/04/03,0.907180871603442,1.18933024433632,1.0442457515634,27,33
2020/04/04,0.964985590077605,1.25411211029518,1.10557215313357,17,34
2020/04/05,0.895259721899589,1.17157118649361,1.02951490364661,27,35
2020/04/06,0.934065389498937,1.21392767811589,1.07014725862677,19,36
2020/04/07,0.886281867445515,1.15775915807479,1.01821352153771,23,37
2020/04/08,0.916163388862445,1.19066192572789,1.04963715610027,20,38
2020/04/09,0.866488235544644,1.132905651745,0.995948547094669,36,39
2020/04/10,0.980822414763237,1.26271369878376,1.11803032860658,34,40
2020/04/11,1.00770667510005,1.29077904895644,1.14556449704542,43,41
2020/04/12,1.12762157329545,1.42083742747988,1.27067185233605,33,42
2020/04/13,1.10308924450381,1.38527915319045,1.2408098661717,24,43
2020/04/14,1.06560945462489,1.33462684976459,1.19693915691617,33,44
